Point 1      -27 29.9045057  153 00.0643567   1.000 56 G94 PSM 1                         --     --
Point 2      -27 29.9053072  150 00.0674515   2.000 56 G94 PSM 2                         --     --
Point 3      -28 50.9051897  151 09.0669807         56 G94 PSM 3                         --     --
Point 4      -29 05.1707508  151 57.9992927   4.000 56 G94 PSM 4                         --     --
Point 5      -29 04.4092198  151 48.3163732         56 G94                               --     --
Point 6      -29 00.0176662  151 27.4633912   6.000 56 G94 PSM 6                         --     --
Point 7      -28 38.2024243  151 58.2151620   7.000 56 G94 PSM 7                         --     --
Point 8      -28 37.1921170  151 39.0078895   8.000 56 G94 PSM 8                         --     --
Point 9      -28 14.6881090  152 03.5053013   9.000 56 G94 PSM 9                         --     --
Point 10     -28 14.1596652  151 59.4238678         56 G94 PSM 10                        --     --
